                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0203,                0.58159,                0.95123,                0.96308,                0.68659,                0.81532,                0.55688,                 1.0475,                0.59587,                 1.0672,               0.000948,               0.000948,               0.000948
                     36,                 1.0098,                0.56807,                0.94699,                0.94983,                0.72791,                0.82643,                0.56403,                 1.0156,                0.59541,                 1.0363,             0.00093385,             0.00093385,             0.00093385
                     37,                0.99453,                0.56591,                0.94778,                0.88071,                0.74561,                0.85041,                0.57458,                  1.012,                0.57341,                 1.0268,              0.0009197,              0.0009197,              0.0009197
                     38,                 1.0279,                0.57195,                0.95372,                0.83651,                0.75418,                0.84495,                 0.5708,                 1.0131,                0.59775,                  1.036,             0.00090556,             0.00090556,             0.00090556
                     39,                 1.0177,                0.56487,                0.95439,                 0.8056,                0.74049,                0.79744,                0.51295,                 1.0508,                0.58008,                 1.0464,             0.00089141,             0.00089141,             0.00089141
                     40,                 1.0091,                0.56785,                0.95098,                 0.9453,                0.73907,                0.81695,                0.57192,                 1.0012,                0.59622,                 1.0177,             0.00087726,             0.00087726,             0.00087726
                     41,                  1.009,                0.56622,                0.94851,                 0.8933,                  0.739,                0.83674,                0.56929,                 1.0403,                0.57108,                 1.0372,             0.00086312,             0.00086312,             0.00086312
                     42,                0.97741,                0.53296,                0.93895,                0.94848,                0.79652,                0.87121,                0.61245,                 1.0189,                0.55755,                 1.0354,             0.00084897,             0.00084897,             0.00084897
                     43,                0.97866,                0.53146,                0.94116,                0.84476,                0.82879,                0.86141,                0.59743,                 1.0011,                0.53788,                  1.028,             0.00083482,             0.00083482,             0.00083482
                     44,                      1,                0.53864,                0.94621,                0.87586,                0.80115,                0.86232,                0.59722,                 1.0168,                  0.555,                 1.0377,             0.00082067,             0.00082067,             0.00082067
                     45,                0.96794,                0.53345,                0.94398,                0.92427,                0.75206,                0.85518,                0.58053,                 1.0173,                0.55482,                 1.0321,             0.00080653,             0.00080653,             0.00080653
